quantity,z,n_sims,in_flat_window,Ap_ref,flat_mean,lin_intercept,lin_slope,flat_rms,lin_resid_rms,flat_frac_spread,lin_frac_spread,loo_slope_min,loo_slope_max
omega_LLS,3.8,3,1,1.8633333333333333e-09,1.1516539677083737,1.151653967708374,33960820.58411481,0.01456681479300119,0.0006432175647510022,0.012648603835392555,0.0005585163450015398,29576682.963221025,35681524.412739865
omega_LLS,4.0,3,1,1.8633333333333333e-09,1.1300743249153575,1.1300743249153578,37801138.506562434,0.016198496595587985,9.333355948401299e-05,0.014334009930542622,8.259063800162318e-05,37164981.79715367,38050819.83049466
omega_LLS,4.2,3,1,1.8633333333333333e-09,1.1029651751397715,1.1029651751397718,22435232.301429722,0.0096140801713348,7.869412674499043e-05,0.008716576359826112,7.134778914032171e-05,22224713.66418914,22971607.395197716
omega_LLS,4.4,3,1,1.8633333333333333e-09,1.0821168062770232,1.0821168062770234,38771609.830733754,0.016616120429823245,0.00026001122207610684,0.015355200412227493,0.00024028018100066698,38076040.664358705,40543832.85918884
omega_LLS,4.6,3,1,1.8633333333333333e-09,1.061640719775346,1.061640719775346,29058121.03709035,0.013112743290004935,0.0041107339008254135,0.012351394446117069,0.0038720574901227292,18061288.93977779,57076670.485545516
omega_LLS,4.8,3,0,1.8633333333333333e-09,1.0425777705737769,1.0425777705737769,27346151.009100545,0.012482619720760143,0.004301267073423719,0.011972842768257377,0.004125607887320042,15839613.988389712,56663364.697764315
omega_LLS,5.0,3,0,1.8633333333333333e-09,1.0268211664911666,1.0268211664911668,20442050.33139171,0.01219465523228303,0.008483987001157474,0.011876123740178018,0.008262380322903539,-2253892.246836277,78268466.50108054
omega_LLS,5.2,3,0,1.8633333333333333e-09,1.0230266497594267,1.023026649759427,15948867.396981873,0.010891267565864265,0.008480117383878582,0.01064612301979175,0.008289243868547073,-6736723.372415273,73748908.45563471
omega_LLS,5.4,3,0,1.8633333333333333e-09,1.0273590270678514,1.0273590270678516,-1308981.968441587,0.015978734755188868,0.015968886619168152,0.015553213953639169,0.015543628077853542,-44028157.952260375,107534122.49183406
omega_subDLA,2.2,3,0,1.8633333333333333e-09,1.2687368116748285,1.268736811674829,-54211810.382619105,0.025352385655329573,0.0101534411110633,0.019982383597637172,0.008002795392733967,-123417139.3349936,-27049826.707175285
omega_subDLA,2.4,3,0,1.8633333333333333e-09,1.2716382471057075,1.2716382471057075,51349835.88364038,0.022018385641855074,0.0007957349556386231,0.017314975931220753,0.0006257557583296534,49221125.071353294,56773524.14474388
omega_subDLA,2.6,3,1,1.8633333333333333e-09,1.2652974866258926,1.2652974866258926,19751792.960641045,0.008969863721441384,0.002970068526549724,0.007089134228315654,0.0023473282433128526,-492040.3509065271,27697173.443046454
omega_subDLA,2.8,3,1,1.8633333333333333e-09,1.2706000032305296,1.2706000032305294,35012237.46297321,0.015003552984615047,0.00010980679082447329,0.011808242520437722,8.642121088091217e-05,34718487.764993265,35760674.8643511
omega_subDLA,3.0,3,1,1.8633333333333333e-09,1.274356679637538,1.2743566796375378,21833870.202846773,0.011444670960885688,0.006591243845353893,0.008980743887292893,0.0051722127334308185,-23091706.607364845,39466439.8676565
omega_subDLA,3.2,3,1,1.8633333333333333e-09,1.2713305011031215,1.2713305011031217,16993154.945663214,0.008091882979437613,0.0035290896936922543,0.006364893292826973,0.0027759026395025497,7552308.67485601,41047247.5909914
omega_subDLA,3.4,3,1,1.8633333333333333e-09,1.2579348994009543,1.2579348994009545,-9031115.060659027,0.004178048699318007,0.0015746973239576308,0.00332135526354158,0.0012518114607580433,-13243667.488869354,1701940.374720901
omega_subDLA,3.6,3,1,1.8633333333333333e-09,1.2698645395992514,1.2698645395992518,28461444.997916393,0.01398252090046925,0.006838640392938887,0.01101103343265409,0.005385330623608917,10167052.320261901,75073263.8683348
omega_subDLA,3.8,3,1,1.8633333333333333e-09,1.2702912928311223,1.2702912928311225,11126495.855218576,0.016226218666953954,0.015509930408030283,0.012773620317266187,0.012209743147544534,-30364903.163302045,116841378.5413082
omega_subDLA,4.0,3,1,1.8633333333333333e-09,1.2677524300474836,1.2677524300474838,4721177.011984777,0.005584865333604058,0.005205561545049995,0.004405328044525915,0.004106134148648424,-9204483.871014044,40202015.002415694
omega_subDLA,4.2,3,1,1.8633333333333333e-09,1.2552911482308977,1.255291148230898,11213669.342946371,0.0062901151910030595,0.004059029361765869,0.005010881499377911,0.0032335361939629104,355154.67226034915,38879803.33000142
omega_subDLA,4.4,3,1,1.8633333333333333e-09,1.251996187565865,1.251996187565865,7516121.748420697,0.006061623942208807,0.005135180855851122,0.004841567412432649,0.004101594642899798,-6221260.194445466,42517248.60499727
