sim,z,Ap,ns,dndx_LLS_LF,dndx_LLS_HR,R_dndx_LLS,dndx_subDLA_LF,dndx_subDLA_HR,R_dndx_subDLA,dndx_DLA_LF,dndx_DLA_HR,R_dndx_DLA,omega_LLS_LF,omega_LLS_HR,R_omega_LLS,omega_subDLA_LF,omega_subDLA_HR,R_omega_subDLA,omega_DLA_LF,omega_DLA_HR,R_omega_DLA
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,3.2,1.98e-09,0.909,0.41099127952666653,0.46697947755375824,1.136227216527739,0.11234521126534083,0.142200802608534,1.265748677731169,0.05466456121371563,0.0644094786818528,1.1782675512575436,8.753446465335687e-06,1.0460529492762684e-05,1.1950183889496755,9.161323744415239e-05,0.00011620365136003481,1.2684155107046926,0.0008969643935690005,0.0009345325170805088,1.0418836285819837
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,3.4,1.98e-09,0.909,0.426501558821032,0.4851590818419163,1.1375317904652678,0.11839040595965368,0.14899895778903713,1.258539123852777,0.057040749255453035,0.06503687170042097,1.1401826334566163,9.15075604859804e-06,1.095206805776363e-05,1.1968484352111608,9.658822108628138e-05,0.00012118885167907651,1.2546959693027124,0.000871445662090947,0.0009121065527124957,1.046659123328455
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,3.6,1.98e-09,0.909,0.4520425771032165,0.5000647239677843,1.1062336808455164,0.12224517979143938,0.15348673439601168,1.2555647155812035,0.05735361831370828,0.06687469132441828,1.166006492539536,9.589552694174714e-06,1.1289407096054019e-05,1.1772610731793467,9.925598576192681e-05,0.00012542925902102748,1.2636946583945003,0.0008672267069300165,0.0009488641968815557,1.0941362729020834
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,3.8,1.98e-09,0.909,0.47512990310062053,0.5121961630526845,1.0780128964945703,0.12699131578548875,0.15879601166614493,1.250447801756618,0.05805917897519411,0.06745908711946223,1.1619021885976764,9.991786948131713e-06,1.1555588476649355e-05,1.156508694254139,0.0001038257217873957,0.00012978893643555273,1.2500653422022145,0.0008505423246733672,0.0009132095824800077,1.0736791762017328
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,4.0,1.98e-09,0.909,0.5014338252343653,0.5251630575508873,1.0473227594995835,0.13038716539924766,0.16251336239586225,1.246390792362451,0.05871803090862268,0.06917520128243633,1.1780912985669965,1.0336179080152797e-05,1.1727573306926797e-05,1.1346139822060273,0.00010579769190445844,0.00013341926553607348,1.26107917039021,0.0008338089363764409,0.0008965712543056284,1.0752718221058404
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,4.2,1.98e-09,0.909,0.5326411621626745,0.5456083822203442,1.0243451332319475,0.1349414286426009,0.16644986191745814,1.2334971075362549,0.059262107128830635,0.06916563598227614,1.16711401826999,1.09487493000957e-05,1.2103551228877672e-05,1.1054734104444128,0.0001090008551050364,0.00013635641342204843,1.250966456094784,0.0008206163589245164,0.000881272914211585,1.0739158495043455
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,4.4,1.98e-09,0.909,0.56675755550178,0.5654932629620708,0.9977692533122212,0.13883791339740506,0.1706026437063506,1.228790029550669,0.0596151117547526,0.07087351287061291,1.1888514637391883,1.1436392760079907e-05,1.2423117041086178e-05,1.0862793279057843,0.00011205823165154551,0.0001395961696221717,1.245746676212576,0.0008314867835102206,0.0008833370939625467,1.0623585503469266
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,4.6,1.98e-09,0.909,0.603127626122965,0.587307801975555,0.9737703539645444,0.1429904183919879,0.17407799792922313,1.2174102285092492,0.05902640783079247,0.0704907667696157,1.194224235560589,1.1994746647745749e-05,1.2706348509620805e-05,1.0593261269097995,0.00011467627375664693,0.0001426549028837252,1.2439792313661269,0.000797434714492134,0.0008566203791587706,1.0742200754381885
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,4.8,1.98e-09,0.909,0.6476295459902991,0.618659512297836,0.9552675848842495,0.14802297970341782,0.17810075751697016,1.2031966784739563,0.059068225801166434,0.07081933875204241,1.1989413562281723,1.2632167784757222e-05,1.3134915857289322e-05,1.0397990337920264,0.00011818970142157413,0.00014612038869189826,1.2363208209715109,0.0007926067363421888,0.0008595961943264816,1.084517901391355
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,5.0,1.98e-09,0.909,0.6959868528314533,0.6552383914530909,0.9414522541444753,0.15243273909155555,0.18254278582533293,1.1975300510456117,0.059086574202385216,0.07124906523716278,1.205841871845848,1.3375880616779887e-05,1.3609053583319273e-05,1.0174323450709386,0.00012086736849291864,0.00014890150373483575,1.231941305510921,0.0007615808206921728,0.0008392540411648942,1.1019894650210953
